VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-02-01 00:01:03,2016-02-01 00:17:47,2,3.43,-74.00318908691406,40.72053909301758,1,N,-73.97148132324217,40.757511138916016,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96
2,2016-02-01 00:01:04,2016-02-01 00:09:01,1,1.58,-73.9733123779297,40.78274154663086,1,N,-73.97368621826173,40.79756927490234,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3
2,2016-02-01 00:01:06,2016-02-01 00:15:30,5,4.15,-73.95262908935547,40.6771354675293,1,N,-73.99878692626953,40.714351654052734,1,15.5,0.5,0.5,3.36,0.0,0.3,20.16
2,2016-02-01 00:01:15,2016-02-01 00:10:52,5,2.61,-73.98775482177734,40.73798370361328,1,N,-74.01199340820312,40.707279205322266,1,10.0,0.5,0.5,1.5,0.0,0.3,12.8
1,2016-02-01 00:01:27,2016-02-01 00:06:13,1,1.8,-74.00662231445312,40.74407958984375,1,N,-73.99464416503906,40.76584243774414,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2016-02-01 00:01:30,2016-02-01 00:16:40,1,3.18,-73.98765563964845,40.7652702331543,1,N,-73.9984359741211,40.726016998291016,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16
2,2016-02-01 00:01:30,2016-02-01 00:09:35,1,1.98,-73.99318695068358,40.74129867553711,1,N,-73.99640655517578,40.72196960449219,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
2,2016-02-01 00:01:31,2016-02-01 00:06:10,1,1.02,-73.97760772705078,40.75382614135742,1,N,-73.9912109375,40.75009536743164,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2016-02-01 00:01:37,2016-02-01 00:23:17,1,5.59,-73.97933959960938,40.75246047973633,1,N,-73.91213989257811,40.77384948730469,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56
2,2016-02-01 00:01:42,2016-02-01 00:07:29,1,1.56,-73.96121215820312,40.76469039916992,1,N,-73.98249053955078,40.76499176025391,1,6.5,0.5,0.5,1.5,0.0,0.3,9.3
2,2016-02-01 00:01:49,2016-02-01 00:04:08,2,0.29,-73.99601745605469,40.74691009521485,1,N,-73.99700927734375,40.74488830566406,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
2,2016-02-01 00:01:53,2016-02-01 00:24:54,1,7.21,-74.00450897216798,40.73043823242188,1,N,-73.91465759277344,40.765918731689446,1,22.5,0.5,0.5,5.95,0.0,0.3,29.75
2,2016-02-01 00:01:58,2016-02-01 00:06:23,1,0.79,-73.9970703125,40.73253631591797,1,N,-73.98604583740233,40.72630310058594,1,5.0,0.5,0.5,0.94,0.0,0.3,7.24
2,2016-02-01 00:02:00,2016-02-01 00:10:29,1,1.11,-73.9691162109375,40.769630432128906,1,N,-73.96446990966798,40.76731872558594,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
2,2016-02-01 00:02:08,2016-02-01 00:21:39,2,10.7,-73.78890228271484,40.64638900756836,1,N,-73.70932006835938,40.725711822509766,1,30.0,0.5,0.5,9.39,0.0,0.3,40.69
2,2016-02-01 00:02:23,2016-02-01 00:15:12,1,3.05,-73.9413070678711,40.7878303527832,1,N,-73.94673919677734,40.819648742675774,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96
2,2016-02-01 00:02:29,2016-02-01 00:12:37,1,2.15,-74.00370025634764,40.732418060302734,1,N,-73.98078155517578,40.74486923217773,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96
2,2016-02-01 00:02:33,2016-02-01 00:27:03,1,9.52,-73.99849700927734,40.72964096069336,1,N,-73.988037109375,40.621360778808594,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8
2,2016-02-01 00:02:43,2016-02-01 00:26:34,1,8.6,-73.99866485595702,40.729736328125,1,N,-73.9485855102539,40.823951721191406,1,27.0,0.5,0.5,5.66,0.0,0.3,33.96
2,2016-02-01 00:02:50,2016-02-01 00:14:50,4,3.23,-74.00589752197266,40.731590270996094,1,N,-73.99153900146483,40.76776123046875,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56
2,2016-02-01 00:02:59,2016-02-01 00:13:04,1,2.8,-73.99301147460938,40.73480987548828,1,N,-73.99178314208984,40.76448059082031,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
2,2016-02-01 00:03:05,2016-02-01 00:13:57,6,2.52,-73.97344207763672,40.75454711914063,1,N,-74.00426483154298,40.742225646972656,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
2,2016-02-01 00:03:17,2016-02-01 00:15:34,1,3.56,-73.97303009033203,40.76112365722656,1,N,-73.91458892822266,40.754913330078125,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2,2016-02-01 00:03:34,2016-02-01 00:25:06,5,12.48,-73.97126007080078,40.757469177246094,1,N,-74.02433776855469,40.63249969482422,2,35.0,0.5,0.5,0.0,0.0,0.3,36.3
2,2016-02-01 00:03:40,2016-02-01 00:33:11,1,18.81,-73.77702331542967,40.64500045776367,2,N,-73.98857879638672,40.725780487060554,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
